,method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
420,xgboost,adult_size_48842,20,30162,0,0.2,100,6,0,0,0,0,0,0,0.890604,0.00271985,84.7432,0.156925,82.8484,0.390651,0,0,0.88863,0.00414252,84.6728,0.454245,82.8228,0.413671,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
423,xgboost,adult_size_48842,20,30162,0,0.1,50,6,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
425,xgboost,adult_size_48842,20,30162,0,0.3,100,5,0,0,0,0,0,0,0.909457,0.00402187,85.6127,0.142149,85.577,0.142096,0,0,0.907115,0.00541929,85.4486,0.529203,85.2066,0.678896,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
432,xgboost,adult_size_48842,20,30162,0,0.2,300,5,0,0,0,0,0,0,0.915687,0.00617267,86.1606,0.341283,86.0851,0.356756,0,0,0.911886,0.00792782,85.8729,0.821062,85.684,0.885643,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
434,xgboost,adult_size_48842,20,30162,0,0.1,200,3,0,0,0,0,0,0,0.891543,0.00112753,84.7159,0.0837998,82.4133,0.290001,0,0,0.890657,0.00317659,84.6529,0.464587,82.4216,0.610901,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
437,xgboost,adult_size_48842,20,30162,0,0.3,400,6,0,0,0,0,0,0,0.914653,0.00571645,86.0934,0.156277,86.0313,0.18134,0,0,0.910535,0.00788201,85.8895,0.777981,85.5149,0.966391,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
438,xgboost,adult_size_48842,20,30162,0,0.2,600,2,0,0,0,0,0,0,0.910916,0.00413866,85.6442,0.093619,85.5049,0.145811,0,0,0.908997,0.00579701,85.5679,0.570678,85.2596,0.694842,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
439,xgboost,adult_size_48842,20,30162,0,0.3,25,3,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
441,xgboost,adult_size_48842,20,30162,0,0.2,10,3,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
442,xgboost,adult_size_48842,20,30162,0,0.2,150,6,0,0,0,0,0,0,0.912315,0.00382676,85.8124,0.135603,85.747,0.156226,0,0,0.908996,0.00557632,85.6442,0.590111,85.3093,0.631314,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
